date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:27:06	63761/63761	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:08%20GMT	https://ewcis.in/	D:/My%20Website/webcon/ewcis.in/index.html	(from )
10:27:06	45/45	---MCZ	200	added ('OK')	text/plain	etag:W/%2219-596c1f93a0528%22	https://ewcis.in/robots.txt		(from )
10:27:06	7553/7553	---M--	200	added ('OK')	image/png	etag:%225dbb21b3-1d81%22	https://ewcis.in/images/logos/favicon.png	D:/My%20Website/webcon/ewcis.in/images/logos/favicon.png	(from https://ewcis.in/)
10:27:06	127349/127349	---MCZ	200	added ('OK')	text/css	etag:W/%225b9a8c5e-1f175%22	https://ewcis.in/css/bootstrap.min.css	D:/My%20Website/webcon/ewcis.in/css/bootstrap.min.css	(from https://ewcis.in/)
10:27:07	31024/31024	---MCZ	200	added ('OK')	text/css	etag:W/%2259249802-7930%22	https://ewcis.in/css/font-awesome.min.css	D:/My%20Website/webcon/ewcis.in/css/font-awesome.min.css	(from https://ewcis.in/)
10:27:07	57094/57094	---MCZ	200	added ('OK')	text/css	etag:W/%22530e057a-df06%22	https://ewcis.in/css/animate.css	D:/My%20Website/webcon/ewcis.in/css/animate.css	(from https://ewcis.in/)
10:27:07	8968/8968	---MCZ	200	added ('OK')	text/css	etag:W/%225bd1d47a-2308%22	https://ewcis.in/css/magnific-popup.css	D:/My%20Website/webcon/ewcis.in/css/magnific-popup.css	(from https://ewcis.in/)
10:27:07	2942/2942	---MCZ	200	added ('OK')	text/css	etag:W/%225bd1d526-b7e%22	https://ewcis.in/css/owl.carousel.min.css	D:/My%20Website/webcon/ewcis.in/css/owl.carousel.min.css	(from https://ewcis.in/)
10:27:07	5014/5014	---MCZ	200	added ('OK')	text/css	etag:W/%225be066f8-1396%22	https://ewcis.in/css/isotop.css	D:/My%20Website/webcon/ewcis.in/css/isotop.css	(from https://ewcis.in/)
10:27:08	19697/19697	---MCZ	200	added ('OK')	text/css	etag:W/%225dbc1f26-4cf1%22	https://ewcis.in/css/xsIcon.css	D:/My%20Website/webcon/ewcis.in/css/xsIcon.css	(from https://ewcis.in/)
10:27:08	88392/88392	---MCZ	200	added ('OK')	text/css	etag:W/%225e1c3024-15948%22	https://ewcis.in/css/style.css	D:/My%20Website/webcon/ewcis.in/css/style.css	(from https://ewcis.in/)
10:27:08	19619/19619	---MCZ	200	added ('OK')	text/css	etag:W/%225dc3006e-4ca3%22	https://ewcis.in/css/responsive.css	D:/My%20Website/webcon/ewcis.in/css/responsive.css	(from https://ewcis.in/)
10:27:08	63761/63761	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:11%20GMT	https://ewcis.in/index.php	D:/My%20Website/webcon/ewcis.in/index-2.html	(from https://ewcis.in/)
10:27:09	7120/7120	---M--	200	added ('OK')	image/png	etag:%225dc01628-1bd0%22	https://ewcis.in/images/logos/amity-logo.png	D:/My%20Website/webcon/ewcis.in/images/logos/amity-logo.png	(from https://ewcis.in/)
10:27:09	31147/31147	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:12%20GMT	https://ewcis.in/call-for-paper.php	D:/My%20Website/webcon/ewcis.in/call-for-paper.html	(from https://ewcis.in/)
10:27:09	43048/43048	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:12%20GMT	https://ewcis.in/committee.php	D:/My%20Website/webcon/ewcis.in/committee.html	(from https://ewcis.in/)
10:27:09	26956/26956	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:12%20GMT	https://ewcis.in/keynotes.php	D:/My%20Website/webcon/ewcis.in/keynotes.html	(from https://ewcis.in/)
10:27:10	21221/21221	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:13%20GMT	https://ewcis.in/registration.php	D:/My%20Website/webcon/ewcis.in/registration.html	(from https://ewcis.in/)
10:27:10	35828/35828	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:13%20GMT	https://ewcis.in/contact.php	D:/My%20Website/webcon/ewcis.in/contact.html	(from https://ewcis.in/)
10:27:10	12907/12907	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:13%20GMT	https://ewcis.in/about-us.php	D:/My%20Website/webcon/ewcis.in/about-us.html	(from https://ewcis.in/)
10:27:10	32061/32061	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Jan%202020%2004:57:13%20GMT	https://ewcis.in/info-delegates.php	D:/My%20Website/webcon/ewcis.in/info-delegates.html	(from https://ewcis.in/)
10:27:11	55544/55544	---M--	200	added ('OK')	image/png	etag:%225dbbe082-d8f8%22	https://ewcis.in/images/logos/slider-conference-logo.png	D:/My%20Website/webcon/ewcis.in/images/logos/slider-conference-logo.png	(from https://ewcis.in/)
10:27:11	21855/21855	---M--	200	added ('OK')	image/png	etag:%225dbbc7ef-555f%22	https://ewcis.in/images/sponsors/springer-logo.png	D:/My%20Website/webcon/ewcis.in/images/sponsors/springer-logo.png	(from https://ewcis.in/)
10:27:11	216215/216215	---M--	200	added ('OK')	image/jpeg	etag:%225dc2a0b5-34c97%22	https://ewcis.in/images/hero_area/banner1.jpg	D:/My%20Website/webcon/ewcis.in/images/hero_area/banner1.jpg	(from https://ewcis.in/)
10:27:12	15211/15211	---M--	200	added ('OK')	image/png	etag:%225e176603-3b6b%22	https://ewcis.in/images/sponsors/eds.png	D:/My%20Website/webcon/ewcis.in/images/sponsors/eds.png	(from https://ewcis.in/)
10:27:12	4921/4921	---M--	200	added ('OK')	image/png	etag:%225dc017fa-1339%22	https://ewcis.in/images/sponsors/indexedby.png	D:/My%20Website/webcon/ewcis.in/images/sponsors/indexedby.png	(from https://ewcis.in/)
10:27:13	147387/147387	---M--	200	added ('OK')	image/jpeg	etag:%225dc2a0b6-23fbb%22	https://ewcis.in/images/hero_area/banner2.jpg	D:/My%20Website/webcon/ewcis.in/images/hero_area/banner2.jpg	(from https://ewcis.in/)
10:27:13	319824/319824	---M--	200	added ('OK')	image/jpeg	etag:%225dbbc16b-4e150%22	https://ewcis.in/images/hero_area/banner4.jpg	D:/My%20Website/webcon/ewcis.in/images/hero_area/banner4.jpg	(from https://ewcis.in/)
10:27:14	285040/285040	---M--	200	added ('OK')	image/jpeg	etag:%225dc2a0b8-45970%22	https://ewcis.in/images/hero_area/banner3.jpg	D:/My%20Website/webcon/ewcis.in/images/hero_area/banner3.jpg	(from https://ewcis.in/)
10:27:14	88181/88181	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%225e18504b-15875%22	https://ewcis.in/download/copyright-form(ewcis2020).docx	D:/My%20Website/webcon/ewcis.in/download/copyright-form(ewcis2020).docx	(from https://ewcis.in/)
10:27:15	422732/422732	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%225e18504d-6734c%22	https://ewcis.in/download/Springer_Paper_Format_Doc.docx	D:/My%20Website/webcon/ewcis.in/download/Springer_Paper_Format_Doc.docx	(from https://ewcis.in/)
10:27:16	7886/7886	---M--	200	added ('OK')	image/png	etag:%225dba37c0-1ece%22	https://ewcis.in/images/logos/info.png	D:/My%20Website/webcon/ewcis.in/images/logos/info.png	(from https://ewcis.in/)
10:27:16	1931/1931	---M--	200	added ('OK')	image/png	etag:%225bd72566-78b%22	https://ewcis.in/images/shap/news_memphis2.png	D:/My%20Website/webcon/ewcis.in/images/shap/news_memphis2.png	(from https://ewcis.in/)
10:27:17	2182/2182	---M--	200	added ('OK')	image/png	etag:%225db9f23a-886%22	https://ewcis.in/images/sponsors/Springer.png	D:/My%20Website/webcon/ewcis.in/images/sponsors/Springer.png	(from https://ewcis.in/)
